"korean","vietnamese","reading","topic_id","level","example","example_vi"
"걷다","Đi bộ","geotda","action","basic","공원에서 걸어요.","Tôi đi bộ trong công viên."
"뛰다","Chạy / nhảy","ttwida","action","basic","아이들이 뛰어요.","Bọn trẻ đang chạy."
"건너다","Băng qua / sang ngang","geonneoda","action","basic","길을 건너세요.","Hãy băng qua đường."
"운전하다","Lái xe","unjeonhada","action","basic","조심해서 운전하세요.","Hãy lái xe cẩn thận."
"길을 묻다","Hỏi đường","gireul mutda","direction","basic","지나가는 사람에게 길을 물었어요.","Tôi hỏi đường một người đi qua."
"잃어버리다","Bị lạc / đánh mất","ireobeorida","action","basic","지갑을 잃어버렸어요.","Tôi đã đánh mất ví."
"빠르다","Nhanh","ppareuda","adjective","basic","기차가 빨라요.","Tàu hỏa nhanh."
"느리다","Chậm","neurida","adjective","basic","버스가 느려요.","Xe buýt chậm."
"멀다","Xa","meolda","adjective","basic","집에서 회사가 멀어요.","Công ty xa nhà."
"가깝다","Gần","gakkapda","adjective","basic","학교가 가까워요.","Trường học gần."
"편하다","Tiện lợi / thoải mái","pyeonhada","adjective","basic","지하철이 편해요.","Tàu điện ngầm tiện lợi."
"복잡하다","Phức tạp / đông đúc","bokjaphada","adjective","basic","주말에 길이 복잡해요.","Cuối tuần đường đông đúc."
"안전하다","An toàn","anjeonhada","adjective","basic","이 곳은 안전해요.","Nơi này an toàn."
"위험하다","Nguy hiểm","wiheomhada","adjective","basic","밤에 길이 위험해요.","Đường đi ban đêm nguy hiểm."
"유명하다","Nổi tiếng","yumyeonghada","adjective","basic","이 식당은 유명해요.","Nhà hàng này nổi tiếng."
"아름답다","Đẹp","areumdapda","adjective","basic","제주도는 아름다워요.","Đảo Jeju rất đẹp."
"어디 가요?","Bạn đi đâu vậy?","eodi gayo?","greeting","basic","지금 어디 가요?","Bây giờ bạn đi đâu vậy?"
"어디에서 왔어요?","Bạn đến từ đâu?","eodieseo wasseoyo?","greeting","basic","어디에서 왔어요? 베트남에서 왔어요.","Bạn đến từ đâu? Tôi đến từ Việt Nam."
"지하철역 어디예요?","Ga tàu điện ngầm ở đâu?","jihacheollyeok eodi yeyo?","direction","basic","여기 지하철역 어디예요?","Ga tàu điện ngầm ở đâu vậy?"
"버스 타요","Đi xe buýt","beoseu tayo","action","basic","저는 버스 타요.","Tôi đi xe buýt."
"택시 불러 주세요","Làm ơn gọi taxi giúp tôi","taeksi bulleo juseyo","greeting","basic","택시 좀 불러 주세요.","Làm ơn gọi giúp tôi taxi."
"길을 잃었어요","Tôi bị lạc đường","gireul ireosseoyo","direction","basic","여기에서 길을 잃었어요.","Tôi bị lạc đường ở đây."
"얼마나 걸려요?","Mất bao lâu?","eolmana geollyeoyo?","greeting","basic","공항까지 얼마나 걸려요?","Đến sân bay mất bao lâu?"
"같이 여행 가요","Đi du lịch cùng nhau nhé","gachi yeohaeng gayo","greeting","basic","다음 주에 같이 여행 가요.","Tuần sau chúng ta đi du lịch cùng nhau nhé."
"사진 찍어요","Chụp ảnh đi","sajin jjigeoyo","action","basic","여기에서 사진 찍어요.","Chụp ảnh ở đây đi."
"정말 아름다워요","Thật là đẹp","jeongmal areumdawoyo","greeting","basic","이 풍경이 정말 아름다워요.","Phong cảnh này thật đẹp."
"한국","Hàn Quốc","Hanguk","location","basic","저는 한국에 살아요.","Tôi sống ở Hàn Quốc."
"태국","Thái Lan","Taeguk","location","basic","태국 음식이 맛있어요.","Đồ ăn Thái Lan ngon."
"서울","Seoul (thủ đô Hàn Quốc)","Seoul","location","basic","서울은 큰 도시예요.","Seoul là thành phố lớn."
"부산","Busan (thành phố cảng)","Busan","location","basic","부산은 바다가 있어요.","Busan có biển."
"제주도","Đảo Jeju","Jejudo","location","basic","제주도에 가고 싶어요.","Tôi muốn đi đảo Jeju."
"바다","Biển","bada","location","basic","바다가 정말 깨끗해요.","Biển thật trong xanh."
"산","Núi","san","location","basic","산에 올라가요.","Tôi leo núi."
"강","Sông","gang","location","basic","한강이 길어요.","Sông Hàn dài."
"하늘","Bầu trời","haneul","weather","basic","하늘이 파래요.","Bầu trời xanh."
"날씨","Thời tiết","nalssi","weather","basic","오늘 날씨가 좋아요.","Hôm nay thời tiết đẹp."
"맑다","Trong xanh / nắng đẹp","makda","weather","basic","하늘이 맑아요.","Bầu trời trong xanh."
"흐리다","Âm u / có mây","heurida","weather","basic","오늘 날씨가 흐려요.","Hôm nay trời âm u."
"비 오다","Trời mưa","bi oda","weather","basic","내일 비가 와요.","Ngày mai trời mưa."
"눈 오다","Trời tuyết","nun oda","weather","basic","겨울에 눈이 와요.","Mùa đông trời tuyết."
"덥다","Nóng","deopda","weather","basic","여름에 덥습니다.","Mùa hè trời nóng."
"춥다","Lạnh","chupda","weather","basic","겨울에 추워요.","Mùa đông trời lạnh."
"바람","Gió","baram","weather","basic","바람이 시원해요.","Gió mát."
"태양","Mặt trời","taeyang","weather","basic","태양이 밝아요.","Mặt trời sáng."
"달","Mặt trăng","dal","weather","basic","밤에 달을 봐요.","Tôi ngắm trăng vào ban đêm."
"별","Ngôi sao","byeol","weather","basic","별이 반짝여요.","Sao lấp lánh."
"오늘","Hôm nay","oneul","time","basic","오늘은 월요일이에요.","Hôm nay là thứ Hai."
"내일","Ngày mai","naeil","time","basic","내일 만나요.","Hẹn gặp ngày mai."
"어제","Hôm qua","eoje","time","basic","어제 영화를 봤어요.","Hôm qua tôi đã xem phim."
"지금","Bây giờ","jigeum","time","basic","지금 몇 시예요?","Bây giờ mấy giờ?"
"항상","Luôn luôn","hangsang","time","basic","저는 항상 아침을 먹어요.","Tôi luôn ăn sáng."
"같이","Cùng nhau","gachi","action","basic","친구와 같이 가요.","Tôi đi cùng bạn."
"행복","Hạnh phúc","haengbok","emotion","basic","가족과 함께 있으면 행복해요.","Tôi hạnh phúc khi ở cùng gia đình."
"사랑","Tình yêu","sarang","emotion","basic","사랑은 아름다워요.","Tình yêu thật đẹp."
"희망","Hi vọng","huimang","emotion","basic","희망을 가져요.","Hãy giữ niềm hi vọng."
"꿈","Giấc mơ / ước mơ","kkum","emotion","basic","꿈을 이루고 싶어요.","Tôi muốn thực hiện giấc mơ."
"미래","Tương lai","mirae","time","basic","미래는 밝아요.","Tương lai tươi sáng."
"노력","Sự nỗ lực","noryeok","action","basic","노력하면 성공해요.","Nỗ lực thì sẽ thành công."
"성공","Thành công","seonggong","emotion","basic","그는 큰 성공을 했어요.","Anh ấy đã thành công lớn."
"친구","Bạn bè","chingu","family","basic","친구를 만나요.","Tôi gặp bạn."
"가족","Gia đình","gajok","family","basic","가족이 그리워요.","Tôi nhớ gia đình."
"미소","Nụ cười","miso","emotion","basic","그녀의 미소가 예뻐요.","Nụ cười của cô ấy đẹp."
"추억","Kỉ niệm","chueok","emotion","basic","좋은 추억이 많아요.","Có nhiều kỉ niệm đẹp."
"여행 추억","Kỉ niệm du lịch","yeohaeng chueok","emotion","basic","여행 추억을 사진으로 남겨요.","Lưu giữ kỉ niệm du lịch bằng ảnh."
"즐겁다","Vui vẻ","jeulgeopda","emotion","basic","여행이 즐거워요.","Chuyến du lịch vui vẻ."
"화이팅","Cố lên!","hwaiting","emotion","basic","오늘도 화이팅!","Hôm nay cũng cố lên nhé!"
