korean,vietnamese,reading,topic_id,level,example,example_vi
구둣주걱,Cái đón gót giày,gudutjugeok,action,basic,,
구름,Mây,gureum,weather,basic,,
구멍,Lỗ,gumeong,action,basic,,
구부리다,"Uốn, gập",guburida,action,basic,,
구석,Góc,guseok,location,basic,,
구역,Khu vực,guyeok,location,basic,,
구인,Tuyển người,guin,workplace,basic,,
구하다,Tìm kiếm,guhada,action,basic,,
굴삭기,Máy xúc,gulsakgi,transport,basic,,
귀덮개,Cái bịt tai (chụp tai),gwideopgae,safety,basic,,
귀마개,Cái bịt tai (nút tai),gwimagae,safety,basic,,
그래서,Vì vậy,geuraeseo,action,basic,,
그러나,Nhưng,geureona,action,basic,,
그러면,"Nếu vậy, vậy thì",geureomyeon,action,basic,,
그럼,"Nếu vậy, vậy thì",geureom,action,basic,,
그렇지만,Nhưng,geureotjiman,action,basic,,
그릇,"Bát, đĩa",geureut,housing,basic,,
그리고,Và,geurigo,action,basic,,
그리다,Vẽ,geurida,action,basic,,
그림,Bức tranh,geurim,action,basic,,
그저께,Hôm kia,geujeokke,time,basic,,
극장,Rạp chiếu phim,geukjang,location,basic,,
근로자,Người lao động,geunroja,workplace,basic,,
근무시간,Thời gian làm việc,geunmusigan,workplace,basic,,
근처에,Gần đây,geuncheoe,location,basic,,
금년,Năm nay,geumnyeon,time,basic,,
금속,Kim loại,geumsok,action,basic,,
금식,Nhịn ăn,geumsik,food,basic,,
금연,Cấm hút thuốc,geumyeon,safety,basic,,
금요일,Thứ 6,geumyoil,time,basic,,
급하다,"Gấp gáp, khẩn cấp",geuphada,emergency,basic,,
기계,Máy móc,gigye,action,basic,,
기다리다,"Đợi, chờ",gidarida,action,basic,,
기대다,"Tựa, dựa vào",gidaeda,action,basic,,
기르다,Nuôi,gireuda,action,basic,,
기분,Tâm trạng,gibun,emotion,basic,,
기숙사,Ký túc xá / Nhà ở công ty,gisuksa,workplace,basic,,
기중기,Cần cẩu,gijunggi,transport,basic,,
기차,Tàu hoả,gicha,transport,basic,,
기차표,Vé tàu,gichapyo,transport,basic,,
기침을하다,Ho,gichimeulhada,hospital,basic,,
길다,Dài,gilda,adjective,basic,,
길이,Chiều dài,giri,number,basic,,
깊다,Sâu,gipda,adjective,basic,,
깨끗하다,Sạch sẽ,kkaekkeuthada,adjective,basic,,
깨지다,Bị vỡ,kkaejida,action,basic,,
꺼내다,"Lấy ra, rút ra",kkeonaeda,action,basic,,
꽂다,Cắm,kkotda,action,basic,,
끄다,Tắt,kkeuda,action,basic,,
끼다,Đeo,kkida,action,basic,,
끼이다,"Mắc, dính, kẹt",kkiida,action,basic,,
나가다,Đi ra ngoài,nagada,action,basic,,
나무,Cây,namu,action,basic,,
나쁘다,Xấu,nappeuda,adjective,basic,,
나사,Đinh vít,nasa,action,basic,,
나타내다,"Biểu đạt, thể hiện",natanaeda,action,basic,,
낙하물경고,Chú ý vật rơi,nakhamulgyeonggo,safety,basic,,
낚시,Câu cá,naksi,sports,basic,,
난로,Lò sưởi,nanro,housing,basic,,
난방기,Thiết bị sưởi,nanbanggi,housing,basic,,
날씨,Thời tiết,nalssi,weather,basic,,
날짜,Ngày tháng,naljja,time,basic,,
남기다,Để lại,namgida,action,basic,,
남동생,Em trai,namdongsaeng,family,basic,,
남자,"Con trai, đàn ông",namja,family,basic,,
남자친구,Bạn trai,namjachingu,family,basic,,
낮다,Thấp,natda,adjective,basic,,
내과,Nội khoa,naegwa,hospital,basic,,
내년,"Năm sau, sang năm",naenyeon,time,basic,,
내용,Nội dung,naeyong,action,basic,,
내일,Ngày mai,naeil,time,basic,,
냄비,"Xoong, nồi",naembi,housing,basic,,
냉면,Mỳ lạnh,naengmyeon,food,basic,,
냉장고,Tủ lạnh,naengjanggo,housing,basic,,
너무,"Quá, rất",neomu,action,basic,,
넓다,Rộng,neolda,adjective,basic,,
넣다,Đưa vào trong,neotda,action,basic,,
넥타이,Cà vạt,nektai,action,basic,,
노래를부르다,Hát,noraereulbureuda,action,basic,,
노트북컴퓨터,Máy tính xách tay,noteubukkeompyuteo,workplace,basic,,
놀다,Chơi,nolda,action,basic,,
놀러가다,Đi chơi,nolreogada,action,basic,,
높다,Cao,nopda,adjective,basic,,
높이,Chiều cao,nopi,number,basic,,
놓다,"Để lên, đặt lên",notda,action,basic,,
누구,Ai,nugu,action,basic,,
누나,Chị gái (em trai gọi),nuna,family,basic,,
누르다,"Ấn, nhấn",nureuda,action,basic,,
눕다,Nằm xuống,nupda,action,basic,,
늙다,Già,neukda,adjective,basic,,
늦다,Muộn,neutda,time,basic,,
니퍼,Kìm cắt,nipeo,action,basic,,
다니다,"Đi làm, đi lại",danida,workplace,basic,,
다리,Chân,dari,body,basic,,
다리미,Bàn là,darimi,housing,basic,,
다치다,Bị thương,dachida,hospital,basic,,
다행,May mắn,dahaeng,emotion,basic,,
닦다,"Đánh, rửa",dakda,action,basic,,
단속하다,"Điều khiển, kiểm soát",dansokhada,action,basic,,
닫다,Đóng,datda,action,basic,,
달다,Ngọt,dalda,adjective,basic,,
달력,Tờ lịch,dalryeok,time,basic,,
달리기하다,Chạy,dalrigihada,sports,basic,,
담당자,Người phụ trách,damdangja,workplace,basic,,
담배,Thuốc lá,dambae,action,basic,,
당기다,Kéo,danggida,action,basic,,
대중교통,Giao thông công cộng,daejunggyotong,transport,basic,,
대피소,Nơi ẩn náu,daepiso,safety,basic,,
대피하다,"Ẩn náu, lánh nạn",daepihada,safety,basic,,
더럽다,Bẩn,deoreopda,adjective,basic,,
덥다,Nóng,deopda,weather,basic,,
데려가다,"Dẫn đi, đưa đi",deryeogada,action,basic,,
도마,Cái thớt,doma,housing,basic,,
도서관,Thư viện,doseogwan,location,basic,,
도서실,Phòng đọc thư viện,doseosil,location,basic,,
도장,Con dấu,dojang,action,basic,,
도착하다,Đến nơi,dochakhada,action,basic,,
독,Chất cực độc,dok,safety,basic,,
독극물경고,Cảnh báo có chất độc,dokgeungmulgyeonggo,safety,basic,,
돈을찾다,Rút tiền,doneulchatda,shopping,basic,,
돌아가시다,Qua đời (kính ngữ),doragasida,greeting,basic,,
동료,Đồng nghiệp,dongryo,workplace,basic,,
동안,Trong vòng,dongan,time,basic,,
동전,Tiền xu,dongjeon,shopping,basic,,
돼지,"Con lợn, con heo",dwaeji,family,basic,,
돼지우리,Chuồng lợn,dwaejiuri,housing,basic,,
두번째,Lần thứ 2,dubeonjjae,number,basic,,
두껍다,Dày,dukkeopda,adjective,basic,,
드라이클리닝,Giặt khô,deuraikeulrining,action,basic,,
드라이클리닝하다,Giặt khô,deuraikeulriningada,action,basic,,
듣다,Nghe,deutda,action,basic,,
들다,"Cầm, xách",deulda,action,basic,,
들어오다/들어가다,"Đi vào, đi ra",deureooda,action,basic,,
등산하다,Leo núi,deungsanhada,sports,basic,,
딸기,Dâu tây,ttalgi,food,basic,,
땅을파다,Đào đất,ttangeulpada,action,basic,,
때문에,"Vì, bởi vì",ttaemune,action,basic,,
떠나다,Rời đi,tteonada,action,basic,,
떠들다,Làm ồn ào,tteodeulda,action,basic,,
떨어지다,Rơi,tteoreojida,action,basic,,
똑바로,"Thẳng, ngay thẳng",ttokbaro,action,basic,,
똥,"Phân, cứt",ttong,body,basic,,
뚫다,"Đâm xuyên, khoan",ttulda,action,basic,,
뜨겁다,"Nóng (đồ ăn, máy móc)",tteugeopda,adjective,basic,,
라디오,Đài radio,radio,housing,basic,,
라면,Mỳ tôm,ramyeon,food,basic,,
마리,Con (đơn vị đếm động vật),mari,number,basic,,
마스크,Khẩu trang,maseukeu,safety,basic,,
마시다,Uống,masida,food,basic,,
막히다,"Tắc, nghẽn",makhida,action,basic,,
만들다,"Làm ra, tạo ra",mandeulda,action,basic,,
만지다,"Sờ, chạm",manjida,action,basic,,
많다,Nhiều,manta,adjective,basic,,
맑다,Nắng / Quang đãng,makda,weather,basic,,
망치,Cái búa,mangchi,action,basic,,
맞다,Đúng,matda,adjective,basic,,
맞은편/건너편,Đối diện,majeunpyeon,direction,basic,,
맡기다,"Giao, ký gửi",matgida,action,basic,,
매다,"Buộc, thắt",maeda,action,basic,,
매달/매월,Hàng tháng,maedal,time,basic,,
매달린물체경고,Chú ý có vật treo ở trên,maedalrinmulchegyeonggo,safety,basic,,
매표소,Nơi bán vé,maepyoso,location,basic,,
맥주,Bia,maekju,food,basic,,
맨손,Tay không,maenson,body,basic,,
맵다,Cay,maepda,food,basic,,
머리,Đầu,meori,body,basic,,
머리를감다,Gội đầu,meorireulgamda,body,basic,,
먹다,Ăn,meokda,food,basic,,
먹이,Thức ăn (cho động vật),meogi,food,basic,,
먼지,Bụi,meonji,action,basic,,
먼지떨이,Chổi quét bụi,meonjitteori,housing,basic,,
멈추다,"Dừng, ngừng, tạnh",meomchuda,action,basic,,
메모,Tin nhắn,memo,action,basic,,
명랑하다,"Vui vẻ, tươi cười",myeongranghada,emotion,basic,,
명절,Ngày lễ truyền thống,myeongjeol,culture,basic,,
명함,Danh thiếp,myeongham,workplace,basic,,
모두,Tất cả,modu,action,basic,,
모래,Hạt cát,morae,action,basic,,
모레,Ngày kia,more,time,basic,,
모드,Chế độ,modeu,action,basic,,
모자,Mũ,moja,action,basic,,
목소리,Giọng nói,moksori,body,basic,,
목요일,Thứ 5,mogyoil,time,basic,,
목욕하다,Tắm,mogyokhada,action,basic,,
무겁다,Nặng,mugeopda,adjective,basic,,
무게,Trọng lượng,muge,number,basic,,
무료,Miễn phí,muryo,adjective,basic,,
묵다,"Lưu lại, trọ lại",mukda,action,basic,,
문지르다,"Cọ, chà",munjireuda,action,basic,,
물건,Hàng hoá,mulgeon,shopping,basic,,
물기,Nước,mulgi,action,basic,,
물어보다,Hỏi,mureoboda,action,basic,,
물질,Vật chất,muljil,action,basic,,
물체,Vật thể,mulche,action,basic,,
물체이동,Di chuyển vật thể,mulcheidong,action,basic,,
미끄럽다,Trơn,mikkeureopda,adjective,basic,,
미술관,Bảo tàng mỹ thuật,misulgwan,location,basic,,
미용사,Thợ cắt tóc,miyongsa,workplace,basic,,
미터,Mét,miteo,number,basic,,
바가지,Cái gáo,bagaji,housing,basic,,
바구니,Cái rổ,baguni,housing,basic,,
바꾸다,"Đổi, chuyển",bakkuda,action,basic,,
바다,Biển,bada,location,basic,,
바닥,"Nền, mặt sàn",badak,housing,basic,,
바람이불다,Gió thổi,baramibulda,weather,basic,,
바르다,"Đúng, ngay thẳng",bareuda,adjective,basic,,
박물관,Viện bảo tàng,bangmulgwan,location,basic,,
반갑다,Vui mừng (khi gặp),bangapda,emotion,basic,,
반찬,Đồ ăn kèm,banchan,food,basic,,
받다,Nhận,batda,action,basic,,
발화성물질,Vật dễ cháy,balhwaseongmuljil,safety,basic,,
밝다,Sáng sủa,bakda,adjective,basic,,
방금,Vừa nãy,banggeum,time,basic,,
방독면,Mặt nạ chống độc,bangdongmyeon,safety,basic,,
방면,Phương hướng,bangmyeon,direction,basic,,
방열면,Mặt nạ chống nhiệt,bangyeolmyeon,safety,basic,,
방향,Phương hướng,banghyang,direction,basic,,
배,"Thuyền, quả lê, bụng",bae,transport,basic,,
배고프다,Đói,baegopeuda,food,basic,,
배달하다,Giao hàng,baedalhada,action,basic,,
배설물,"Chất thải, phân",baeseolmul,body,basic,,
배우다,Học,baeuda,action,basic,,
버리다,Vứt bỏ,beorida,action,basic,,
버스정류장,Bến xe buýt,beoseujeongryujang,transport,basic,,
벌레,Côn trùng,beolre,action,basic,,
벌써,Đã,beolsseo,time,basic,,
벗다,"Cởi, tháo",beotda,action,basic,,
베개,Cái gối,begae,housing,basic,,
벤치,Cái ghế dài,benchi,housing,basic,,
별로,Không lắm,byeolro,action,basic,,
병균,"Vi rút, vi khuẩn",byeonggyun,hospital,basic,,
병원,Bệnh viện,byeongwon,hospital,basic,,
보관소,Nơi bảo quản,bogwanso,location,basic,,
보관함,Tủ bảo quản,bogwanham,housing,basic,,
보내다,Gửi,bonaeda,action,basic,,
보다,"Xem, nhìn",boda,action,basic,,
보안경,Kính bảo hộ,boangyeong,safety,basic,,
보여주다,Cho xem,boyeojuda,action,basic,,
보증금,Tiền đặt cọc,bojeunggeum,shopping,basic,,
보통,Bình thường,botong,adjective,basic,,
보행,Đi bộ,bohaeng,action,basic,,
보호구,Dụng cụ bảo hộ,bohogu,safety,basic,,
보호하다,Bảo hộ,bohohada,safety,basic,,
복사기,Máy phô tô copy,boksagi,workplace,basic,,
복잡하다,Phức tạp,bokjaphada,adjective,basic,,
볼펜,Bút bi,bolpen,action,basic,,
봉투,"Phong bì, túi",bongtu,action,basic,,
부동산,Bất động sản,budongsan,housing,basic,,
부럽다,Ghen tỵ,bureopda,emotion,basic,,
부모님,Bố mẹ,bumonim,family,basic,,
부엌,Bếp,bueok,housing,basic,,
부치다,Gửi (đồ),buchida,action,basic,,
부탁하다,Nhờ vả,butakhada,action,basic,,
부품,"Phụ phẩm, linh kiện",bupum,action,basic,,
분무기,Bình bơm nước (bình thuốc sâu),bunmugi,action,basic,,
분실물센터,Nơi tìm vật thất lạc,bunsilmulsenteo,location,basic,,
분해하다,Tháo ra,bunhaehada,action,basic,,
불고기,Thịt bò xào,bulgogi,food,basic,,
불다,Thổi,bulda,action,basic,,
불도저,Xe ủi,buldojeo,transport,basic,,
불편하다,"Bất tiện, khó chịu",bulpyeonhada,adjective,basic,,
붓다,Đổ vào,butda,action,basic,,
붙이다,Dán,butida,action,basic,,
비가오다,Mưa,bigaoda,weather,basic,,
비누,Xà bông,binu,housing,basic,,
비닐봉투,Túi nilon,binilbongtu,shopping,basic,,
비료,Phân bón,biryo,action,basic,,
비빔밥,Cơm trộn,bibimbap,food,basic,,
비상구,Lối thoát hiểm,bisanggu,safety,basic,,
비슷하다,"Giống nhau, tương tự",biseuthada,adjective,basic,,
비싸다,Đắt,bissada,adjective,basic,,
비자,Visa,bija,law,basic,,
비행기,Máy bay,bihaenggi,transport,basic,,
빌려주다,"Cho vay, cho mượn",bilryeojuda,action,basic,,
빌리다,"Vay, mượn",bilrida,action,basic,,
빗다,Chải (đầu),bitda,body,basic,,
빗자루,Cái chổi,bitjaru,housing,basic,,
빛,Ánh sáng,bit,weather,basic,,
사거리,Ngã tư,sageori,location,basic,,
사고,"Tai nạn, sự cố",sago,emergency,basic,,
사과,Quả táo,sagwa,food,basic,,
사다,Mua,sada,shopping,basic,,
사다리,Cái thang,sadari,action,basic,,
사람,Người,saram,action,basic,,
사료,Thức ăn cho vật nuôi,saryo,food,basic,,
사무실,Văn phòng,samusil,workplace,basic,,
사원증,Thẻ nhân viên,sawonjeung,workplace,basic,,
사장실,Phòng giám đốc,sajangsil,workplace,basic,,
사진,Tấm ảnh,sajin,action,basic,,
사진찍다,Chụp ảnh,sajinjjikda,action,basic,,
사항,"Điều, hạng mục",sahang,action,basic,,
살다,Sống,salda,action,basic,,
삶다,Luộc,samda,action,basic,,
상자,Cái hộp,sangja,action,basic,,
새벽,Rạng sáng,saebyeok,time,basic,,
색깔,Màu sắc,saekkkal,adjective,basic,,
샌드위치,Bánh mì sandwich,saendeuwichi,food,basic,,
생각하다,Suy nghĩ,saenggakhada,action,basic,,
생명,"Sinh mệnh, cuộc sống",saengmyeong,action,basic,,
생산지,Nơi sản xuất,saengsanji,location,basic,,
생선,Cá,saengseon,food,basic,,
생일,Sinh nhật,saengil,time,basic,,
샤워하다,Tắm vòi hoa sen,syawohada,action,basic,,
샴푸,Dầu gội đầu,syampu,housing,basic,,
서두르다,"Vội vàng, nhanh chóng",seodureuda,action,basic,,
서류,Tài liệu,seoryu,workplace,basic,,
서류함,Hộp đựng tài liệu,seoryuham,workplace,basic,,
서점,Hiệu sách,seojeom,location,basic,,
서투르다,"Vụng về, lạ lẫm",seotureuda,adjective,basic,,
석유,"Dầu hoả, dầu mỏ",seogyu,safety,basic,,
선글라스,Kính râm,seongeulraseu,action,basic,,
선물,Quà tặng,seonmul,action,basic,,
선풍기,Quạt,seonpunggi,housing,basic,,
설거지하다,Rửa bát,seolgeojihada,action,basic,,
설날,Tết Hàn Quốc (Seollal),seolnal,culture,basic,,
설명하다,Giải thích,seolmyeonghada,action,basic,,
성격,Tính cách,seonggyeok,action,basic,,
세금,Thuế,segeum,action,basic,,
세숫대야,Chậu rửa mặt,sesutdaeya,housing,basic,,
세우다,"Đỗ, đậu xe",seuda,transport,basic,,
세제,"Bột giặt, nước giặt",seje,housing,basic,,
세차하다,Rửa xe,sechahada,transport,basic,,
세탁기,Máy giặt,setakgi,housing,basic,,
셔츠,Áo sơ mi,syeocheu,action,basic,,
소개하다,Giới thiệu,sogaehada,action,basic,,
소금,Muối,sogeum,food,basic,,
소독하다,"Khử trùng, tẩy trùng",sodokhada,action,basic,,
소리지르다,La hét,sorijireuda,action,basic,,
소방서,Trạm cứu hoả,sobangseo,location,basic,,
소장,"Người quản lý, tổ trưởng",sojang,workplace,basic,,
소주,Rượu soju,soju,food,basic,,
소포,Bưu phẩm,sopo,action,basic,,
소화기,Bình chữa cháy,sohwagi,safety,basic,,
소화제,Thuốc tiêu hoá,sohwaje,hospital,basic,,
손님,"Khách, khách hàng",sonnim,shopping,basic,,
손수레,"Xe đẩy, xe chở hàng",sonsure,transport,basic,,
손잡기,"Nắm tay, kéo tay",sonjapgi,action,basic,,
손잡이,"Tay cầm, tay nắm",sonjabi,action,basic,,
손전등,Đèn pin,sonjeondeung,action,basic,,
송금하다,Gửi tiền,songgeumhada,shopping,basic,,
송이,Bông (hoa),songi,adjective,basic,,
수건,Khăn mặt,sugeon,housing,basic,,
수리하다,Sửa chữa,surihada,action,basic,,
수박,Dưa hấu,subak,food,basic,,
수선하다,Sửa chữa,suseonhada,action,basic,,
수세미,Giẻ rửa bát,susemi,housing,basic,,
수술하다,Phẫu thuật,susulhada,hospital,basic,,
수영장,Bể bơi,suyeongjang,sports,basic,,
수영하다,Bơi,suyeonghada,sports,basic,,
수요일,Thứ 4,suyoil,time,basic,,
수저,"Thìa, đũa",sujeo,housing,basic,,
표,Ngân phiếu,pyo,shopping,basic,,
숙박하다,"Nghỉ trọ, lưu trú",sukbakhada,action,basic,,
순두부,Đậu phụ non,sundubu,food,basic,,
숟가락,Cái thìa,sutgarak,housing,basic,,
쉬다,Nghỉ ngơi,swida,action,basic,,
쉽다,Dễ,swipda,adjective,basic,,
스웨터,Áo len dài tay,seuweteo,action,basic,,
스위치,Công tắc điện,seuwichi,housing,basic,,
스패너,"Cờ lê, mỏ lết",seupaeneo,action,basic,,
슬프다,Buồn,seulpeuda,emotion,basic,,
습기,Hơi ẩm,seupgi,weather,basic,,
승강금지,Cấm trèo leo,seungganggeumji,safety,basic,,
승강기,Thang máy,seungganggi,housing,basic,,
시간,"Thời gian, tiếng",sigan,time,basic,,
시너,"Chất lỏng, dung dịch",sineo,safety,basic,,
시다,Chua,sida,food,basic,,
시속,Tốc độ km/h,sisok,transport,basic,,
시원하다,Mát mẻ,siwonhada,weather,basic,,
시장,Chợ,sijang,shopping,basic,,
시키다,"Yêu cầu, gọi đồ",sikida,action,basic,,
시합,Trận đấu,sihap,sports,basic,,
식당,"Nhà ăn, nhà hàng",sikdang,location,basic,,
식물,Thực vật,singmul,action,basic,,
식사하다,Ăn uống,siksahada,food,basic,,
신다,"Đi (giày, dép)",sinda,action,basic,,
신문,Tờ báo,sinmun,action,basic,,
신발,"Giày, dép",sinbal,action,basic,,
신분증,Chứng minh thư,sinbunjeung,law,basic,,
신용카드,"Thẻ tín dụng, thẻ VISA",sinyongkadeu,shopping,basic,,
신입사원,Nhân viên mới,sinipsawon,workplace,basic,,
신청서,"Đơn đăng ký, đơn yêu cầu",sincheongseo,workplace,basic,,
신호등,Đèn tín hiệu giao thông,sinhodeung,transport,basic,,
싫어하다,Ghét,sileohada,emotion,basic,,
심각하다,Nghiêm trọng,simgakhada,adjective,basic,,
심다,Trồng,simda,action,basic,,
심심하다,"Buồn tẻ, nhàn rỗi",simsimhada,emotion,basic,,
싱겁다,Nhạt,singgeopda,adjective,basic,,
싸다,Rẻ,ssada,adjective,basic,,
썩다,Sâu (răng),sseokda,body,basic,,
쓰다,Viết / Dùng,sseuda,action,basic,,
쓰레기,Rác,sseuregi,action,basic,,
쓰레기통,Thùng rác,sseuregitong,housing,basic,,
쓸다,Quét,sseulda,action,basic,,
끄다,Ra,kkeoda,action,basic,,
아가씨,Cô gái (chưa có chồng),agassi,family,basic,,
아까,Vừa nãy,akka,time,basic,,
아들,Con trai,adeul,family,basic,,
아래,Phía dưới,arae,direction,basic,,
아버지,Bố,abeoji,family,basic,,
아빠,Ba,appa,family,basic,,
아이,"Trẻ em, đứa trẻ",ai,family,basic,,
아저씨,Chú,ajeossi,family,basic,,
아주머니,"Cô, bác (gọi phụ nữ đã kết hôn)",ajumeoni,family,basic,,
아줌마,"Cô, bác (gọi phụ nữ đã kết hôn)",ajumma,family,basic,,
아직,Vẫn chưa,ajik,time,basic,,
아침,Buổi sáng,achim,time,basic,,
아프다,Đau,apeuda,hospital,basic,,
안개,Sương mù,angae,weather,basic,,
안경,Kính,angyeong,action,basic,,
안과,Khoa mắt,angwa,hospital,basic,,
안내소,Nơi hướng dẫn,annaeso,location,basic,,
안다,Ôm,anda,action,basic,,
안전수칙,Quy tắc an toàn,anjeonsuchik,safety,basic,,
안전대,Dây an toàn,anjeondae,safety,basic,,
안전띠,Dây an toàn,anjeontti,safety,basic,,
안전망,Lưới an toàn,anjeonmang,safety,basic,,
안전선,Vạch an toàn,anjeonseon,safety,basic,,
안전장갑,Găng tay bảo hộ,anjeonjanggap,safety,basic,,
안전화,Giày bảo hộ,anjeonhwa,safety,basic,,
앉다,Ngồi,anda,action,basic,,
알다,Biết,alda,action,basic,,
액세서리,"Phụ kiện, đồ trang sức",aekseseori,shopping,basic,,
야근하다,Làm đêm,yageunhada,workplace,basic,,
야채,Rau,yachae,food,basic,,
약국,Nhà thuốc,yakguk,hospital,basic,,
약사,Dược sỹ,yaksa,workplace,basic,,
약품,Dược phẩm,yakpum,hospital,basic,,
양계장,Trại nuôi gà,yanggyejang,location,basic,,
양말,Tất,yangmal,action,basic,,
양복,"Âu phục, com lê",yangbok,action,basic,,
어깨,Vai,eokkae,body,basic,,
어둡다,Tối,eodupda,adjective,basic,,
어디,Ở đâu,eodi,action,basic,,
어떤,Như thế nào?,eotteon,action,basic,,
어떻게,Như thế nào?,eotteotge,action,basic,,
어렵다,Khó,eoryeopda,adjective,basic,,
어린이,Trẻ em,eorini,family,basic,,
어머니,Mẹ,eomeoni,family,basic,,
어제,Hôm qua,eoje,time,basic,,
언니,Chị (em gái gọi),eonni,family,basic,,
언제,Khi nào? Bao giờ?,eonje,time,basic,,
언제든지,Bất cứ khi nào,eonjedeunji,time,basic,,
얼굴,Khuôn mặt,eolgul,body,basic,,
얼마,Bao nhiêu?,eolma,shopping,basic,,
엄금,Nghiêm cấm,eomgeum,safety,basic,,
엄마,Mẹ,eomma,family,basic,,
없애다,Loại bỏ,eobsaeda,action,basic,,
엎드리다,Nằm sấp,eopdeurida,action,basic,,
에스컬레이터,Thang cuốn,eseukeolreiteo,housing,basic,,
에어컨,Điều hoà,eeokeon,housing,basic,,
엘리베이터,Thang máy,elribeiteo,housing,basic,,
여권,Hộ chiếu,yeogwon,law,basic,,
여동생,Em gái,yeodongsaeng,family,basic,,
여름,Mùa hè,yeoreum,time,basic,,
여자,"Con gái, cô gái",yeoja,family,basic,,
여자친구,Bạn gái,yeojachingu,family,basic,,
여행사,Công ty du lịch,yeohaengsa,workplace,basic,,
여행하다,Đi du lịch,yeohaenghada,action,basic,,
연락처,Số liên lạc,yeonrakcheo,number,basic,,
연말,Cuối năm,yeonmal,time,basic,,
